n,r,run,valid,path_length,computation_time
200,0.5,1,0,0,0.00178906
200,0.5,2,0,0,0.00172328
200,0.5,3,0,0,0.00145643
200,0.5,4,0,0,0.0014682
200,0.5,5,0,0,0.00179389
200,0.5,6,0,0,0.00143755
200,0.5,7,0,0,0.00201271
200,0.5,8,0,0,0.00207697
200,0.5,9,0,0,0.00210196
200,0.5,10,0,0,0.00168219
200,0.5,11,0,0,0.00169111
200,0.5,12,0,0,0.00187324
200,0.5,13,0,0,0.00155305
200,0.5,14,0,0,0.00233492
200,0.5,15,0,0,0.0017005
200,0.5,16,0,0,0.00159983
200,0.5,17,0,0,0.00185962
200,0.5,18,0,0,0.00163938
200,0.5,19,0,0,0.00169856
200,0.5,20,0,0,0.00190461
200,0.5,21,0,0,0.00193762
200,0.5,22,0,0,0.00189507
200,0.5,23,0,0,0.00164238
200,0.5,24,0,0,0.00226543
200,0.5,25,0,0,0.00277978
200,0.5,26,0,0,0.00252976
200,0.5,27,0,0,0.00181033
200,0.5,28,0,0,0.00167046
200,0.5,29,0,0,0.00158986
200,0.5,30,0,0,0.00205839
200,0.5,31,0,0,0.00195986
200,0.5,32,0,0,0.00158528
200,0.5,33,0,0,0.00153191
200,0.5,34,0,0,0.00162217
200,0.5,35,0,0,0.00160685
200,0.5,36,0,0,0.00150871
200,0.5,37,0,0,0.00152622
200,0.5,38,0,0,0.00145616
200,0.5,39,0,0,0.00147984
200,0.5,40,0,0,0.00176098
200,0.5,41,0,0,0.00217285
200,0.5,42,0,0,0.00189456
200,0.5,43,0,0,0.00198137
200,0.5,44,0,0,0.00231986
200,0.5,45,0,0,0.00168042
200,0.5,46,0,0,0.00182289
200,0.5,47,0,0,0.00162708
200,0.5,48,0,0,0.00167002
200,0.5,49,0,0,0.002086
200,0.5,50,0,0,0.00154641
200,0.5,51,0,0,0.00131879
200,0.5,52,0,0,0.00160393
200,0.5,53,0,0,0.00181822
200,0.5,54,0,0,0.00194663
200,0.5,55,0,0,0.00156927
200,0.5,56,0,0,0.00143033
200,0.5,57,0,0,0.00159676
200,0.5,58,0,0,0.0015058
200,0.5,59,0,0,0.00169083
200,0.5,60,0,0,0.00202822
200,0.5,61,0,0,0.00171144
200,0.5,62,0,0,0.00170907
200,0.5,63,0,0,0.00210048
200,0.5,64,0,0,0.00207091
200,0.5,65,0,0,0.00154203
200,0.5,66,0,0,0.001715
200,0.5,67,0,0,0.00171077
200,0.5,68,0,0,0.00155851
200,0.5,69,0,0,0.0017045
200,0.5,70,0,0,0.00154564
200,0.5,71,0,0,0.00167328
200,0.5,72,0,0,0.00190204
200,0.5,73,0,0,0.0017449
200,0.5,74,0,0,0.00156369
200,0.5,75,0,0,0.00153847
200,0.5,76,0,0,0.0016381
200,0.5,77,0,0,0.00156319
200,0.5,78,0,0,0.001588
200,0.5,79,0,0,0.00182907
200,0.5,80,0,0,0.00161416
200,0.5,81,0,0,0.00187929
200,0.5,82,0,0,0.00151925
200,0.5,83,0,0,0.00166334
200,0.5,84,0,0,0.00161537
200,0.5,85,0,0,0.00168965
200,0.5,86,0,0,0.0021786
200,0.5,87,0,0,0.00162487
200,0.5,88,0,0,0.00125763
200,0.5,89,0,0,0.00107053
200,0.5,90,0,0,0.00118979
200,0.5,91,0,0,0.0012044
200,0.5,92,0,0,0.00181497
200,0.5,93,0,0,0.00204842
200,0.5,94,0,0,0.00107047
200,0.5,95,0,0,0.000863647
200,0.5,96,0,0,0.000926911
200,0.5,97,0,0,0.000831145
200,0.5,98,0,0,0.000748922
200,0.5,99,0,0,0.000835525
200,0.5,100,0,0,0.000761515
200,1,1,0,0,0.00191737
200,1,2,0,0,0.00157141
200,1,3,0,0,0.00131179
200,1,4,0,0,0.00142386
200,1,5,0,0,0.00132212
200,1,6,0,0,0.00121462
200,1,7,0,0,0.00132777
200,1,8,0,0,0.00133248
200,1,9,0,0,0.00153046
200,1,10,0,0,0.00107112
200,1,11,0,0,0.00115219
200,1,12,0,0,0.0011678
200,1,13,0,0,0.00105892
200,1,14,0,0,0.00100315
200,1,15,0,0,0.00108002
200,1,16,0,0,0.00116454
200,1,17,0,0,0.00101655
200,1,18,0,0,0.00106054
200,1,19,0,0,0.00105323
200,1,20,0,0,0.000969112
200,1,21,0,0,0.000951938
200,1,22,0,0,0.00103444
200,1,23,0,0,0.00107481
200,1,24,0,0,0.000922122
200,1,25,0,0,0.000865369
200,1,26,0,0,0.000799
200,1,27,0,0,0.000821232
200,1,28,0,0,0.00103804
200,1,29,0,0,0.0012209
200,1,30,0,0,0.00130763
200,1,31,0,0,0.000868666
200,1,32,0,0,0.000899511
200,1,33,0,0,0.00131863
200,1,34,0,0,0.00088584
200,1,35,0,0,0.00104295
200,1,36,0,0,0.00143972
200,1,37,0,0,0.00150636
200,1,38,0,0,0.00158012
200,1,39,0,0,0.00182752
200,1,40,0,0,0.00179713
200,1,41,0,0,0.00176888
200,1,42,0,0,0.00142834
200,1,43,0,0,0.00172907
200,1,44,0,0,0.00140324
200,1,45,0,0,0.00152215
200,1,46,0,0,0.00156187
200,1,47,0,0,0.0014908
200,1,48,0,0,0.00104074
200,1,49,0,0,0.000775956
200,1,50,0,0,0.000777474
200,1,51,0,0,0.00130196
200,1,52,0,0,0.00129951
200,1,53,0,0,0.00129388
200,1,54,0,0,0.00170647
200,1,55,0,0,0.000721277
200,1,56,0,0,0.000725304
200,1,57,0,0,0.000884592
200,1,58,0,0,0.000716885
200,1,59,0,0,0.00145547
200,1,60,0,0,0.000726748
200,1,61,0,0,0.000717371
200,1,62,0,0,0.00123927
200,1,63,0,0,0.00189013
200,1,64,0,0,0.00142212
200,1,65,0,0,0.0014321
200,1,66,0,0,0.00143717
200,1,67,0,0,0.00143172
200,1,68,0,0,0.0016812
200,1,69,0,0,0.00131901
200,1,70,0,0,0.0011421
200,1,71,0,0,0.00172588
200,1,72,0,0,0.00128327
200,1,73,0,0,0.00141244
200,1,74,0,0,0.000972766
200,1,75,0,0,0.00130822
200,1,76,0,0,0.00112876
200,1,77,0,0,0.000910749
200,1,78,0,0,0.00121868
200,1,79,0,0,0.00119659
200,1,80,0,0,0.00102777
200,1,81,0,0,0.000981458
200,1,82,0,0,0.00109781
200,1,83,0,0,0.000970861
200,1,84,0,0,0.000934742
200,1,85,0,0,0.00082714
200,1,86,0,0,0.000907686
200,1,87,0,0,0.000792628
200,1,88,0,0,0.00108657
200,1,89,0,0,0.00133502
200,1,90,0,0,0.00149675
200,1,91,0,0,0.00141568
200,1,92,0,0,0.00149133
200,1,93,0,0,0.00102209
200,1,94,0,0,0.000827391
200,1,95,0,0,0.000827355
200,1,96,0,0,0.000803741
200,1,97,0,0,0.0008268
200,1,98,0,0,0.000882273
200,1,99,0,0,0.000829355
200,1,100,0,0,0.000858496
200,1.5,1,0,0,0.00144347
200,1.5,2,0,0,0.00147847
200,1.5,3,0,0,0.00249497
200,1.5,4,0,0,0.00245625
200,1.5,5,0,0,0.00328882
200,1.5,6,0,0,0.00278917
200,1.5,7,0,0,0.00315712
200,1.5,8,0,0,0.00250851
200,1.5,9,1,23.3045,0.00274145
200,1.5,10,0,0,0.0014847
200,1.5,11,0,0,0.00168424
200,1.5,12,0,0,0.00138684
200,1.5,13,0,0,0.0012845
200,1.5,14,1,21.0506,0.00133857
200,1.5,15,0,0,0.00117375
200,1.5,16,0,0,0.00128323
200,1.5,17,0,0,0.00143789
200,1.5,18,0,0,0.00125258
200,1.5,19,0,0,0.00126171
200,1.5,20,0,0,0.00119143
200,1.5,21,0,0,0.0012224
200,1.5,22,0,0,0.00111645
200,1.5,23,0,0,0.00108611
200,1.5,24,0,0,0.00116963
200,1.5,25,0,0,0.00124954
200,1.5,26,0,0,0.0013929
200,1.5,27,0,0,0.00129899
200,1.5,28,0,0,0.00110716
200,1.5,29,0,0,0.0010886
200,1.5,30,0,0,0.0010566
200,1.5,31,0,0,0.00107247
200,1.5,32,0,0,0.00117965
200,1.5,33,1,18.6157,0.00103356
200,1.5,34,0,0,0.00115603
200,1.5,35,0,0,0.00109045
200,1.5,36,0,0,0.00102477
200,1.5,37,0,0,0.00109958
200,1.5,38,0,0,0.00111923
200,1.5,39,0,0,0.00106824
200,1.5,40,1,19.5027,0.00133595
200,1.5,41,1,19.0604,0.00121875
200,1.5,42,0,0,0.0011802
200,1.5,43,0,0,0.00117236
200,1.5,44,0,0,0.00127491
200,1.5,45,1,16.1423,0.00123935
200,1.5,46,0,0,0.00111978
200,1.5,47,0,0,0.00101745
200,1.5,48,1,17.2823,0.00133118
200,1.5,49,0,0,0.00116059
200,1.5,50,0,0,0.00130286
200,1.5,51,0,0,0.0011347
200,1.5,52,0,0,0.00126527
200,1.5,53,0,0,0.00114906
200,1.5,54,1,20.2799,0.00117944
200,1.5,55,1,17.7574,0.00115931
200,1.5,56,0,0,0.00110665
