n,r,run,valid,path_length,computation_time
5000,0.5,1,1,15.0575,0.000905633
5000,0.5,2,1,12.71,0.00161689
5000,0.5,3,1,12.0923,0.0010229
5000,0.5,4,1,12.127,0.000671889
5000,0.5,5,1,14.1768,0.00187889
5000,0.5,6,1,12.0391,0.00083473
5000,0.5,7,1,12.1792,0.00158708
5000,0.5,8,1,12.2181,0.000933005
5000,0.5,9,1,13.1912,0.00143264
5000,0.5,10,1,14.7131,0.00125086
5000,0.5,11,1,13.1612,0.00152233
5000,0.5,12,1,13.0418,0.000594309
5000,0.5,13,1,11.0651,0.000874762
5000,0.5,14,1,13.2315,0.00065047
5000,0.5,15,1,14.0699,0.00062928
5000,0.5,16,1,12.7424,0.000999041
5000,0.5,17,1,14.0977,0.00127482
5000,0.5,18,1,13.6362,0.000750045
5000,0.5,19,1,13.1524,0.000746532
5000,0.5,20,1,11.7205,0.000456878
5000,0.5,21,1,13.641,0.000709813
5000,0.5,22,1,12.7397,0.00135764
5000,0.5,23,1,14.2367,0.00105308
5000,0.5,24,1,13.1459,0.00197891
5000,0.5,25,1,14.0815,0.000949377
5000,0.5,26,1,13.0853,0.00113988
5000,0.5,27,1,13.0783,0.00101322
5000,0.5,28,1,12.1005,0.00064591
5000,0.5,29,1,13.2347,0.00228793
5000,0.5,30,1,11.5048,0.000653635
5000,0.5,31,1,12.1872,0.00122629
5000,0.5,32,1,12.0099,0.000534093
5000,0.5,33,1,12.0558,0.000585255
5000,0.5,34,1,11.2355,0.00045545
5000,0.5,35,1,12.1314,0.000903409
5000,0.5,36,1,12.654,0.00127786
5000,0.5,37,1,12.6399,0.00097624
5000,0.5,38,1,12.6974,0.000626247
5000,0.5,39,1,12.6474,0.000537704
5000,0.5,40,1,13.5583,0.00147269
5000,0.5,41,1,12.1462,0.0005176
5000,0.5,42,1,12.0447,0.000685661
5000,0.5,43,1,11.5244,0.000547321
5000,0.5,44,1,11.0995,0.000409347
5000,0.5,45,1,12.571,0.00103515
5000,0.5,46,1,13.2122,0.00081949
5000,0.5,47,1,12.6288,0.000645809
5000,0.5,48,1,12.0733,0.00086781
5000,0.5,49,1,14.7411,0.00106804
5000,0.5,50,1,13.7477,0.000677908
5000,0.5,51,1,12.5247,0.000776707
5000,0.5,52,1,13.7057,0.000842854
5000,0.5,53,1,12.0291,0.00128035
5000,0.5,54,1,12.1315,0.00046076
5000,0.5,55,1,13.2231,0.00125453
5000,0.5,56,1,13.2421,0.000805202
5000,0.5,57,1,14.2063,0.000283315
5000,0.5,58,1,13.7005,0.000967669
5000,0.5,59,1,12.0557,0.000777812
5000,0.5,60,1,13.5875,0.00067734
5000,0.5,61,1,16.158,0.00229848
5000,0.5,62,1,13.5056,0.000625421
5000,0.5,63,1,12.1929,0.000425233
5000,0.5,64,1,13.6669,0.00086703
5000,0.5,65,1,12.1601,0.00100941
5000,0.5,66,1,12.627,0.00142515
5000,0.5,67,1,14.0817,0.000799632
5000,0.5,68,1,12.6321,0.000589818
5000,0.5,69,1,12.65,0.000664684
5000,0.5,70,1,12.7112,0.000978342
5000,0.5,71,1,11.6437,0.000456986
5000,0.5,72,1,13.2365,0.00102992
5000,0.5,73,1,12.6603,0.000635597
5000,0.5,74,1,13.1594,0.000599174
5000,0.5,75,1,14.1928,0.000655638
5000,0.5,76,1,12.1327,0.00180875
5000,0.5,77,1,14.2398,0.00074375
5000,0.5,78,1,11.5014,0.000526987
5000,0.5,79,1,14.1396,0.000665313
5000,0.5,80,1,13.1422,0.000849476
5000,0.5,81,1,13.1329,0.00232657
5000,0.5,82,1,12.5112,0.00203188
5000,0.5,83,1,11.2424,0.000890215
5000,0.5,84,1,12.6014,0.000508501
5000,0.5,85,1,15.2326,0.00177641
5000,0.5,86,1,12.5357,0.0012366
5000,0.5,87,1,14.6965,0.00108366
5000,0.5,88,1,14.6952,0.00133399
5000,0.5,89,1,12.249,0.000479994
5000,0.5,90,1,14.0669,0.00132686
5000,0.5,91,1,13.1213,0.00125408
5000,0.5,92,1,13.5866,0.000657365
5000,0.5,93,1,12.1449,0.000718828
5000,0.5,94,1,14.7072,0.000462646
5000,0.5,95,1,12.1419,0.000259377
5000,0.5,96,1,14.2041,0.000592488
5000,0.5,97,1,13.0392,0.000552638
5000,0.5,98,1,11.6488,0.00185813
5000,0.5,99,1,13.0647,0.00103913
5000,0.5,100,1,13.1735,0.000364242
