Run,PathCost,ComputationTime,ValidPath
1,18.5239,0.0383573,true
2,17.2544,0.000769982,true
3,19.3505,0.0152562,true
4,18.8736,0.0400211,true
5,19.7611,0.0192939,true
6,18.5741,0.000470128,true
7,21.1319,0.0935306,true
8,19.4297,0.000810121,true
9,18.6149,0.00744909,true
10,18.3257,0.0514878,true
11,21.9238,0.0172767,true
12,27.0719,0.0686239,true
13,20.1316,0.00396397,true
14,20.2272,0.0363817,true
15,22.9315,0.0356331,true
16,21.6202,0.0312063,true
17,18.9536,0.000558556,true
18,18.7371,0.221979,true
19,18.7565,0.00140109,true
20,20.0092,0.0179407,true
21,20.8676,0.0531567,true
22,21.2544,0.0200013,true
23,19.8967,0.00746966,true
24,19.2997,0.0129446,true
25,20.0363,0.112915,true
26,21.6733,0.0121526,true
27,30.5354,0.177434,true
28,23.0514,0.14009,true
29,21.4373,0.00546445,true
30,19.2543,0.00124692,true
31,20.2674,0.0814006,true
32,19.2555,0.00170196,true
33,22.6754,0.00504583,true
34,22.0186,0.0156495,true
35,21.4474,0.00782414,true
36,19.7199,0.062756,true
37,19.8242,0.00434683,true
38,18.5315,0.00107174,true
39,23.8333,0.0632624,true
40,18.628,0.000669944,true
41,18.9191,0.00506004,true
42,17.7326,0.0389209,true
43,18.8299,0.0138378,true
44,23.8654,0.00671057,true
45,22.4254,0.0255052,true
46,21.2934,0.00278517,true
47,22.4132,0.0115597,true
48,21.9814,0.00159921,true
49,20.936,0.109045,true
50,22.8759,0.223585,true
